"service_id","date","exception_type"
"D6FBD819","20250801","1"
"D6FBD819","20250804","1"
"D6FBD819","20250805","1"
"D6FBD819","20250806","1"
"D6FBD819","20250807","1"
"D6FBD819","20250808","1"
"D6FBD819","20250811","1"
"D6FBD819","20250812","1"
"D6FBD819","20250813","1"
"D6FBD819","20250814","1"
"D6FBD819","20250815","1"
"D6FBD819","20250818","1"
"D6FBD819","20250819","1"
"D6FBD819","20250820","1"
"D6FBD819","20250821","1"
"D6FBD819","20250822","1"
"D6FBD819","20250825","1"
"D6FBD819","20250826","1"
"D6FBD819","20250827","1"
"D6FBD819","20250828","1"
"D6FBD819","20250829","1"
"6EDDCE0C","20250604","1"
"6EDDCE0C","20250605","1"
"6EDDCE0C","20250609","1"
"6EDDCE0C","20250610","1"
"6EDDCE0C","20250611","1"
"6EDDCE0C","20250612","1"
"6EDDCE0C","20250616","1"
"6EDDCE0C","20250617","1"
"6EDDCE0C","20250618","1"
"6EDDCE0C","20250619","1"
"247E0C8F","20250609","1"
"247E0C8F","20250616","1"
"247E0C8F","20250623","1"
"247E0C8F","20250624","1"
"247E0C8F","20250625","1"
"247E0C8F","20250626","1"
"247E0C8F","20250627","1"
"247E0C8F","20250630","1"
"247E0C8F","20250701","1"
"247E0C8F","20250702","1"
"247E0C8F","20250703","1"
"247E0C8F","20250707","1"
"247E0C8F","20250708","1"
"247E0C8F","20250709","1"
"247E0C8F","20250710","1"
"247E0C8F","20250711","1"
"247E0C8F","20250714","1"
"247E0C8F","20250715","1"
"247E0C8F","20250716","1"
"247E0C8F","20250717","1"
"247E0C8F","20250718","1"
"247E0C8F","20250721","1"
"247E0C8F","20250722","1"
"247E0C8F","20250723","1"
"247E0C8F","20250724","1"
"247E0C8F","20250725","1"
"247E0C8F","20250728","1"
"247E0C8F","20250729","1"
"247E0C8F","20250730","1"
"247E0C8F","20250731","1"
"247E0C8F","20250801","1"
"247E0C8F","20250804","1"
"247E0C8F","20250805","1"
"247E0C8F","20250806","1"
"247E0C8F","20250807","1"
"247E0C8F","20250808","1"
"247E0C8F","20250811","1"
"247E0C8F","20250812","1"
"247E0C8F","20250813","1"
"247E0C8F","20250814","1"
"247E0C8F","20250815","1"
"247E0C8F","20250818","1"
"247E0C8F","20250819","1"
"247E0C8F","20250820","1"
"247E0C8F","20250821","1"
"247E0C8F","20250822","1"
"247E0C8F","20250825","1"
"247E0C8F","20250826","1"
"247E0C8F","20250827","1"
"247E0C8F","20250828","1"
"247E0C8F","20250829","1"
"5AFBB6D6","20250604","1"
"5AFBB6D6","20250605","1"
"5AFBB6D6","20250606","1"
"5AFBB6D6","20250610","1"
"5AFBB6D6","20250611","1"
"5AFBB6D6","20250612","1"
"5AFBB6D6","20250613","1"
"5AFBB6D6","20250617","1"
"5AFBB6D6","20250618","1"
"5AFBB6D6","20250619","1"
"5AFBB6D6","20250620","1"
"929AFEE0","20250604","1"
"929AFEE0","20250605","1"
"929AFEE0","20250606","1"
"929AFEE0","20250609","1"
"929AFEE0","20250610","1"
"929AFEE0","20250611","1"
"929AFEE0","20250613","1"
"929AFEE0","20250616","1"
"929AFEE0","20250617","1"
"929AFEE0","20250618","1"
"929AFEE0","20250619","1"
"929AFEE0","20250620","1"
"929AFEE0","20250623","1"
"929AFEE0","20250624","1"
"929AFEE0","20250625","1"
"929AFEE0","20250626","1"
"929AFEE0","20250627","1"
"929AFEE0","20250630","1"
"929AFEE0","20250701","1"
"929AFEE0","20250702","1"
"929AFEE0","20250703","1"
"929AFEE0","20250707","1"
"929AFEE0","20250708","1"
"929AFEE0","20250709","1"
"929AFEE0","20250710","1"
"929AFEE0","20250711","1"
"929AFEE0","20250714","1"
"929AFEE0","20250715","1"
"929AFEE0","20250716","1"
"929AFEE0","20250717","1"
"929AFEE0","20250718","1"
"929AFEE0","20250721","1"
"929AFEE0","20250722","1"
"929AFEE0","20250724","1"
"929AFEE0","20250725","1"
"929AFEE0","20250728","1"
"929AFEE0","20250729","1"
"929AFEE0","20250730","1"
"929AFEE0","20250731","1"
"929AFEE0","20250801","1"
"929AFEE0","20250804","1"
"929AFEE0","20250805","1"
"929AFEE0","20250807","1"
"929AFEE0","20250808","1"
"929AFEE0","20250811","1"
"929AFEE0","20250812","1"
"929AFEE0","20250813","1"
"929AFEE0","20250814","1"
"929AFEE0","20250815","1"
"929AFEE0","20250818","1"
"929AFEE0","20250819","1"
"929AFEE0","20250820","1"
